"game_name","game_name_abbr","index_name",dimension,reversed
"候鸟迁徙PRO","BirdsPro","rcs_repeat",,
"候鸟迁徙PRO","BirdsPro","lisas_switch",,
"候鸟迁徙PRO","BirdsPro","lisas_repeat",,
"候鸟迁徙PRO","BirdsPro","cong_eff_pc",,
"候鸟迁徙PRO","BirdsPro","cong_eff_mrt",,
"候鸟迁徙PRO","BirdsPro","cong_eff_ies",Inhibition,t
"候鸟迁徙PRO","BirdsPro","cong_eff_rcs",,
"候鸟迁徙PRO","BirdsPro","cong_eff_lisas",,
"候鸟迁徙PRO","BirdsPro","pc_inc",,
"候鸟迁徙PRO","BirdsPro","pc_con",,
"候鸟迁徙PRO","BirdsPro","mrt_inc",,
"候鸟迁徙PRO","BirdsPro","mrt_con",,
"候鸟迁徙PRO","BirdsPro","ies_inc",,
"候鸟迁徙PRO","BirdsPro","ies_con",,
"候鸟迁徙PRO","BirdsPro","rcs_inc",,
"候鸟迁徙PRO","BirdsPro","rcs_con",,
"候鸟迁徙PRO","BirdsPro","lisas_inc",,
"候鸟迁徙PRO","BirdsPro","lisas_con",,
"太空飞船PRO","FlkrPro","pc",,
"太空飞船PRO","FlkrPro","mrt",,
"太空飞船PRO","FlkrPro","cong_eff_pc",,
"太空飞船PRO","FlkrPro","cong_eff_mrt",,
"太空飞船PRO","FlkrPro","cong_eff_ies",Inhibition,t
"太空飞船PRO","FlkrPro","cong_eff_rcs",,
"太空飞船PRO","FlkrPro","cong_eff_lisas",,
"太空飞船PRO","FlkrPro","pc_inc",,
"太空飞船PRO","FlkrPro","pc_con",,
"太空飞船PRO","FlkrPro","mrt_inc",,
"太空飞船PRO","FlkrPro","mrt_con",,
"太空飞船PRO","FlkrPro","ies_inc",,
"太空飞船PRO","FlkrPro","ies_con",,
"太空飞船PRO","FlkrPro","rcs_inc",,
"太空飞船PRO","FlkrPro","rcs_con",,
"太空飞船PRO","FlkrPro","lisas_inc",,
"太空飞船PRO","FlkrPro","lisas_con",,
"变戏法","AntiSac","nc",Inhibition,f
"变戏法","AntiSac","mrt",,
"变戏法","AntiSac","rtsd",,
"变戏法","AntiSac","ies",,
"变戏法","AntiSac","rcs",,
"变戏法","AntiSac","lisas",,
"多彩文字PRO","ColStrpPro","pc",,
"多彩文字PRO","ColStrpPro","mrt",,
"多彩文字PRO","ColStrpPro","cong_eff_pc",,
"多彩文字PRO","ColStrpPro","cong_eff_mrt",,
"多彩文字PRO","ColStrpPro","cong_eff_ies",Inhibition,t
"多彩文字PRO","ColStrpPro","cong_eff_rcs",,
"多彩文字PRO","ColStrpPro","cong_eff_lisas",,
"多彩文字PRO","ColStrpPro","pc_inc",,
"多彩文字PRO","ColStrpPro","pc_con",,
"多彩文字PRO","ColStrpPro","mrt_inc",,
"多彩文字PRO","ColStrpPro","mrt_con",,
"多彩文字PRO","ColStrpPro","ies_inc",,
"多彩文字PRO","ColStrpPro","ies_con",,
"多彩文字PRO","ColStrpPro","rcs_inc",,
"多彩文字PRO","ColStrpPro","rcs_con",,
"多彩文字PRO","ColStrpPro","lisas_inc",,
"多彩文字PRO","ColStrpPro","lisas_con",,
"一心二用PRO","DualTaskPro","nc",Attention,f
"一心二用PRO","DualTaskPro","mrt",,
"一心二用PRO","DualTaskPro","rtsd",,
"一心二用PRO","DualTaskPro","dprime",,
"一心二用PRO","DualTaskPro","commissions",,
"一心二用PRO","DualTaskPro","omissions",,
"小狗回家","Racer","mean_score",Attention,f
"小狗回家","Racer","dprime",,
"美术卡片","Paint2back","pc",,
"美术卡片","Paint2back","mrt",,
"美术卡片","Paint2back","ies",,
"美术卡片","Paint2back","rcs",,
"美术卡片","Paint2back","lisas",,
"美术卡片","Paint2back","dprime",Working Memory,f
"卡片分类PRO","CardSortPro","pc",,
"卡片分类PRO","CardSortPro","mrt",,
"卡片分类PRO","CardSortPro","switch_cost_pc",,
"卡片分类PRO","CardSortPro","switch_cost_mrt",,
